subject,text,label,source
Buy cheap meds online now,"From: user806@mailer.biz
To: target404@example.com
Date: 2024-03-05
Message-ID: <452497@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!! https://accounts-update.example.org",spam,spamassassin
Lose weight fast - guaranteed,"LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://secure-verify-now.example.com",spam,spamassassin
Lunch tomorrow?,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Project timeline update,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Server maintenance window,The conference room is booked for 2pm. See you all there.,ham,enron
Action required: verify your password,,phishing,ceas2008
Draft contract attached,Here is this week's status report. No major blockers to report.,ham,enron
Re: Conference room booking,"<html><body><p>Re: Conference room booking</p><br>From: user466@example.com
To: target335@example.com
Date: 2024-06-25
Message-ID: <497542@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.</body></html>",ham,enron
Project timeline update,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
You have WON a prize!!!,"Click here to claim your free gift card before it expires!!! Hurry, limited stock.",spam,spamassassin
Meeting notes from yesterday,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Server maintenance window,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Free gift card waiting,"From: user761@mailer.biz
To: target586@example.com
Date: 2024-10-18
Message-ID: <650744@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.

    unsubscribe   ",spam,spamassassin
Weekly status report,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Your invoice from last month,The conference room is booked for 2pm. See you all there.,ham,enron
Your payment could not be processed,Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox. http://192.168.1.5/login,phishing,ceas2008
Team offsite planning,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Holiday schedule reminder,"<html><body><p>Holiday schedule reminder</p><br>From: user675@example.com
To: target442@example.com
Date: 2024-06-14
Message-ID: <531071@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.</body></html>",ham,enron
Your invoice from last month,"From: user815@example.com
To: target893@example.com
Date: 2024-04-08
Message-ID: <124813@mail.example.com>

Here is this week's status report. No major blockers to report.",ham,enron
Lunch tomorrow?,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Server maintenance window,"<html><body><p>Server maintenance window</p><br>From: user358@example.com
To: target574@example.com
Date: 2024-12-09
Message-ID: <401769@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>",ham,enron
Free gift card waiting,"<html><body><p>Free gift card waiting</p><br>From: user762@mailer.biz
To: target258@example.com
Date: 2024-04-20
Message-ID: <918859@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!!</body></html>

    unsubscribe   ",spam,spamassassin
Q3 budget review,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Q3 budget review,   ,ham,enron
Lunch tomorrow?,"From: user425@example.com
To: target48@example.com
Date: 2024-11-27
Message-ID: <804791@mail.example.com>

Here is this week's status report. No major blockers to report.",ham,enron
Holiday schedule reminder,"From: user345@example.com
To: target685@example.com
Date: 2024-11-26
Message-ID: <523956@mail.example.com>

Attached is your invoice for last month's consulting hours.",ham,enron
Project timeline update,"From: user467@example.com
To: target383@example.com
Date: 2024-01-20
Message-ID: <768706@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Q3 budget review,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Your account has been suspended,"<html><body><p>Your account has been suspended</p><br>From: user446@mailer.biz
To: target258@example.com
Date: 2024-06-20
Message-ID: <944264@mail.example.com>

Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com</body></html>

    unsubscribe   ",phishing,ceas2008
Meeting notes from yesterday,"<html><body><p>Meeting notes from yesterday</p><br>From: user477@example.com
To: target887@example.com
Date: 2024-05-25
Message-ID: <985885@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.</body></html>

    unsubscribe   ",ham,enron
Your payment could not be processed,"Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com",phishing,ceas2008
Project timeline update,"From: user617@example.com
To: target157@example.com
Date: 2024-11-03
Message-ID: <285751@mail.example.com>

The conference room is booked for 2pm. See you all there.",ham,enron
You have WON a prize!!!,"Click here to claim your free gift card before it expires!!! Hurry, limited stock.",spam,spamassassin
Lose weight fast - guaranteed,"LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://accounts-update.example.org",spam,spamassassin
Holiday schedule reminder,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Unusual sign-in activity detected,Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox. https://accounts-update.example.org,phishing,ceas2008
Project timeline update,Here is this week's status report. No major blockers to report.,ham,enron
Server maintenance window,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Action required: verify your password,"<html><body><p>Action required: verify your password</p><br>From: user344@mailer.biz
To: target65@example.com
Date: 2024-02-09
Message-ID: <248097@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended.</body></html>",phishing,ceas2008
Unusual sign-in activity detected,Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox.,phishing,ceas2008
Your account has been suspended,"<html><body><p>Your account has been suspended</p><br>From: user932@mailer.biz
To: target606@example.com
Date: 2024-12-05
Message-ID: <791174@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended. http://192.168.1.5/login</body></html>",phishing,ceas2008
Action required: verify your password,"<html><body><p>Action required: verify your password</p><br>From: user373@mailer.biz
To: target402@example.com
Date: 2024-03-23
Message-ID: <797492@mail.example.com>

Your account shows suspicious sign-in attempts from an unrecognised device. Verify your identity now to keep your account safe. https://secure-verify-now.example.com</body></html>

    unsubscribe   ",phishing,ceas2008
Project timeline update,Attached is your invoice for last month's consulting hours.,ham,enron
Q3 budget review,Here is this week's status report. No major blockers to report.,ham,enron
Server maintenance window,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Your invoice from last month,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Draft contract attached,"<html><body><p>Draft contract attached</p><br>From: user281@example.com
To: target215@example.com
Date: 2024-03-19
Message-ID: <901619@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.</body></html>",ham,enron
Make $5000 a week from home,"From: user237@mailer.biz
To: target611@example.com
Date: 2024-04-08
Message-ID: <820767@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!! http://bit.ly/3xQ1z",spam,spamassassin
Make $5000 a week from home,"LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.",spam,spamassassin
Meeting notes from yesterday,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Make $5000 a week from home,"<html><body><p>Make $5000 a week from home</p><br>From: user206@mailer.biz
To: target809@example.com
Date: 2024-12-20
Message-ID: <384459@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!! http://bit.ly/3xQ1z</body></html>",spam,spamassassin
Server maintenance window,"From: user136@example.com
To: target806@example.com
Date: 2024-09-12
Message-ID: <656639@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.

    unsubscribe   ",ham,enron
Lunch tomorrow?,"From: user848@example.com
To: target869@example.com
Date: 2024-02-21
Message-ID: <999908@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.

    unsubscribe   ",ham,enron
Team offsite planning,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Server maintenance window,"<html><body><p>Server maintenance window</p><br>From: user596@example.com
To: target378@example.com
Date: 2024-08-18
Message-ID: <656711@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.</body></html>",ham,enron
Follow-up on our call,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Free gift card waiting,"From: user654@mailer.biz
To: target519@example.com
Date: 2024-07-24
Message-ID: <294546@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.",spam,spamassassin
Your invoice from last month,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Weekly status report,The conference room is booked for 2pm. See you all there.,ham,enron
Free gift card waiting,"From: user889@mailer.biz
To: target905@example.com
Date: 2024-11-13
Message-ID: <342397@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!",spam,spamassassin
Lose weight fast - guaranteed,"<html><body><p>Lose weight fast - guaranteed</p><br>From: user498@mailer.biz
To: target197@example.com
Date: 2024-02-02
Message-ID: <698749@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!</body></html>",spam,spamassassin
Hot singles in your area,"<html><body><p>Hot singles in your area</p><br>From: user764@mailer.biz
To: target957@example.com
Date: 2024-11-24
Message-ID: <387096@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. http://192.168.1.5/login</body></html>

    unsubscribe   ",spam,spamassassin
Best deal of the year - act now,"<html><body><p>Best deal of the year - act now</p><br>From: user6@mailer.biz
To: target623@example.com
Date: 2024-08-08
Message-ID: <327408@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. http://free-gift-claim.example.net</body></html>",spam,spamassassin
Follow-up on our call,"From: user721@example.com
To: target300@example.com
Date: 2024-05-19
Message-ID: <380329@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.",ham,enron
Team offsite planning,"<html><body><p>Team offsite planning</p><br>From: user204@example.com
To: target734@example.com
Date: 2024-11-23
Message-ID: <671412@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.</body></html>",ham,enron
Lunch tomorrow?,"From: user272@example.com
To: target873@example.com
Date: 2024-02-03
Message-ID: <265271@mail.example.com>

Attached is your invoice for last month's consulting hours.",ham,enron
Your account has been suspended,"<html><body><p>Your account has been suspended</p><br>From: user142@mailer.biz
To: target896@example.com
Date: 2024-12-13
Message-ID: <293929@mail.example.com>

This is the IT Service Desk. We require you to confirm your credentials via the secure portal attached, due to a recent security breach.</body></html>",phishing,ceas2008
Weekly status report,The conference room is booked for 2pm. See you all there.,ham,enron
Team offsite planning,"From: user487@example.com
To: target970@example.com
Date: 2024-09-06
Message-ID: <377932@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.",ham,enron
Server maintenance window,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Project timeline update,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Action required: verify your password,Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox. http://192.168.1.5/login,phishing,ceas2008
URGENT: limited time offer,"<html><body><p>URGENT: limited time offer</p><br>From: user557@mailer.biz
To: target916@example.com
Date: 2024-09-16
Message-ID: <785672@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!</body></html>

    unsubscribe   ",spam,spamassassin
Hot singles in your area,"From: user816@mailer.biz
To: target818@example.com
Date: 2024-12-10
Message-ID: <826596@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!!",spam,spamassassin
Weekly status report,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Your payment could not be processed,"<html><body><p>Your payment could not be processed</p><br>From: user473@mailer.biz
To: target867@example.com
Date: 2024-03-10
Message-ID: <905245@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended. https://accounts-update.example.org</body></html>

    unsubscribe   ",phishing,ceas2008
Team offsite planning,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Lunch tomorrow?,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
You have WON a prize!!!,"<html><body><p>You have WON a prize!!!</p><br>From: user323@mailer.biz
To: target505@example.com
Date: 2024-10-28
Message-ID: <388078@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://accounts-update.example.org</body></html>

    unsubscribe   ",spam,spamassassin
Meeting notes from yesterday,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Weekly status report,"From: user238@example.com
To: target859@example.com
Date: 2024-02-11
Message-ID: <734565@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Server maintenance window,"From: user678@example.com
To: target745@example.com
Date: 2024-04-16
Message-ID: <462544@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Holiday schedule reminder,"<html><body><p>Holiday schedule reminder</p><br>From: user600@example.com
To: target302@example.com
Date: 2024-08-28
Message-ID: <223502@mail.example.com>

Here is this week's status report. No major blockers to report.</body></html>",ham,enron
Free gift card waiting,"<html><body><p>Free gift card waiting</p><br>From: user183@mailer.biz
To: target488@example.com
Date: 2024-06-12
Message-ID: <329183@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!</body></html>",spam,spamassassin
Weekly status report,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Weekly status report,The conference room is booked for 2pm. See you all there.,ham,enron
Re: Conference room booking,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Your invoice from last month,"From: user436@example.com
To: target105@example.com
Date: 2024-12-27
Message-ID: <785424@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.

    unsubscribe   ",ham,enron
Draft contract attached,Attached is your invoice for last month's consulting hours.,ham,enron
Re: Conference room booking,"From: user99@example.com
To: target51@example.com
Date: 2024-07-19
Message-ID: <676363@mail.example.com>

The conference room is booked for 2pm. See you all there.

    unsubscribe   ",ham,enron
Holiday schedule reminder,Attached is your invoice for last month's consulting hours.,ham,enron
Action required: verify your password,"<html><body><p>Action required: verify your password</p><br>From: user535@mailer.biz
To: target501@example.com
Date: 2024-04-19
Message-ID: <596489@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended.</body></html>",phishing,ceas2008
Re: Conference room booking,"<html><body><p>Re: Conference room booking</p><br>From: user306@example.com
To: target858@example.com
Date: 2024-10-19
Message-ID: <791998@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.</body></html>

    unsubscribe   ",ham,enron
Follow-up on our call,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Meeting notes from yesterday,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Q3 budget review,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Your invoice from last month,Attached is your invoice for last month's consulting hours.,ham,enron
Hot singles in your area,"From: user182@mailer.biz
To: target488@example.com
Date: 2024-10-20
Message-ID: <140932@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!!",spam,spamassassin
Free gift card waiting,"<html><body><p>Free gift card waiting</p><br>From: user33@mailer.biz
To: target339@example.com
Date: 2024-02-27
Message-ID: <887029@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.</body></html>",spam,spamassassin
Meeting notes from yesterday,"From: user883@example.com
To: target837@example.com
Date: 2024-02-15
Message-ID: <223088@mail.example.com>

Attached is your invoice for last month's consulting hours.

    unsubscribe   ",ham,enron
Q3 budget review,"From: user627@example.com
To: target624@example.com
Date: 2024-01-10
Message-ID: <798435@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.",ham,enron
Draft contract attached,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Team offsite planning,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Meeting notes from yesterday,"<html><body><p>Meeting notes from yesterday</p><br>From: user809@example.com
To: target808@example.com
Date: 2024-04-19
Message-ID: <439498@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.</body></html>

    unsubscribe   ",ham,enron
Server maintenance window,"From: user856@example.com
To: target878@example.com
Date: 2024-06-05
Message-ID: <195643@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Weekly status report,"From: user793@example.com
To: target868@example.com
Date: 2024-12-03
Message-ID: <866437@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Server maintenance window,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Security alert from IT department,Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox.,phishing,ceas2008
Meeting notes from yesterday,The conference room is booked for 2pm. See you all there.,ham,enron
Security alert from IT department,"From: user445@mailer.biz
To: target594@example.com
Date: 2024-04-19
Message-ID: <256206@mail.example.com>

Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox.",phishing,ceas2008
Project timeline update,"From: user852@example.com
To: target88@example.com
Date: 2024-02-14
Message-ID: <201255@mail.example.com>

Attached is your invoice for last month's consulting hours.",ham,enron
Weekly status report,"From: user601@example.com
To: target722@example.com
Date: 2024-03-25
Message-ID: <216308@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Security alert from IT department,"<html><body><p>Security alert from IT department</p><br>From: user271@mailer.biz
To: target774@example.com
Date: 2024-02-02
Message-ID: <275741@mail.example.com>

Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com http://free-gift-claim.example.net</body></html>",phishing,ceas2008
Holiday schedule reminder,"From: user152@example.com
To: target672@example.com
Date: 2024-12-01
Message-ID: <887443@mail.example.com>

Attached is your invoice for last month's consulting hours.",ham,enron
Your invoice from last month,"From: user565@example.com
To: target149@example.com
Date: 2024-07-07
Message-ID: <728492@mail.example.com>

Attached is your invoice for last month's consulting hours.",ham,enron
Your account has been suspended,"From: user760@mailer.biz
To: target680@example.com
Date: 2024-11-03
Message-ID: <817303@mail.example.com>

Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox.",phishing,ceas2008
Buy cheap meds online now,"From: user183@mailer.biz
To: target166@example.com
Date: 2024-11-10
Message-ID: <740774@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!",spam,spamassassin
Server maintenance window,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Holiday schedule reminder,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Re: Conference room booking,"<html><body><p>Re: Conference room booking</p><br>From: user136@example.com
To: target741@example.com
Date: 2024-10-19
Message-ID: <595631@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>",ham,enron
Action required: verify your password,"From: user596@mailer.biz
To: target42@example.com
Date: 2024-03-04
Message-ID: <929478@mail.example.com>

This is the IT Service Desk. We require you to confirm your credentials via the secure portal attached, due to a recent security breach.",phishing,ceas2008
Follow-up on our call,Attached is your invoice for last month's consulting hours.,ham,enron
Server maintenance window,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Your invoice from last month,"<html><body><p>Your invoice from last month</p><br>From: user510@example.com
To: target764@example.com
Date: 2024-11-01
Message-ID: <207629@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>

    unsubscribe   ",ham,enron
Draft contract attached,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Server maintenance window,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Holiday schedule reminder,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Project timeline update,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Q3 budget review,"From: user301@example.com
To: target850@example.com
Date: 2024-11-20
Message-ID: <479201@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.",ham,enron
Weekly status report,"<html><body><p>Weekly status report</p><br>From: user778@example.com
To: target675@example.com
Date: 2024-04-01
Message-ID: <457938@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>",ham,enron
Your invoice from last month,"<html><body><p>Your invoice from last month</p><br>From: user32@example.com
To: target815@example.com
Date: 2024-04-10
Message-ID: <134283@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.</body></html>",ham,enron
Your invoice from last month,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Make $5000 a week from home,"From: user688@mailer.biz
To: target819@example.com
Date: 2024-10-28
Message-ID: <157030@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!!",spam,spamassassin
Weekly status report,"From: user402@example.com
To: target602@example.com
Date: 2024-02-12
Message-ID: <469082@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Lunch tomorrow?,"<html><body><p>Lunch tomorrow?</p><br>From: user411@example.com
To: target382@example.com
Date: 2024-11-21
Message-ID: <776001@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.</body></html>",ham,enron
Project timeline update,"<html><body><p>Project timeline update</p><br>From: user892@example.com
To: target392@example.com
Date: 2024-10-22
Message-ID: <352528@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.</body></html>",ham,enron
Lunch tomorrow?,"<html><body><p>Lunch tomorrow?</p><br>From: user245@example.com
To: target430@example.com
Date: 2024-11-26
Message-ID: <753064@mail.example.com>

The conference room is booked for 2pm. See you all there.</body></html>

    unsubscribe   ",ham,enron
Weekly status report,,ham,enron
Project timeline update,"From: user745@example.com
To: target473@example.com
Date: 2024-12-07
Message-ID: <559753@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.",ham,enron
Weekly status report,"From: user882@example.com
To: target860@example.com
Date: 2024-10-14
Message-ID: <483162@mail.example.com>

Here is this week's status report. No major blockers to report.

    unsubscribe   ",ham,enron
Q3 budget review,The conference room is booked for 2pm. See you all there.,ham,enron
Your invoice from last month,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Re: Conference room booking,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Q3 budget review,Here is this week's status report. No major blockers to report.,ham,enron
Q3 budget review,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Lose weight fast - guaranteed,"From: user227@mailer.biz
To: target157@example.com
Date: 2024-01-22
Message-ID: <867115@mail.example.com>

Lose 10kg in 2 weeks with this one weird trick doctors don't want you to know about.",spam,spamassassin
Your invoice from last month,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Project timeline update,"From: user87@example.com
To: target255@example.com
Date: 2024-09-20
Message-ID: <729153@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.

    unsubscribe   ",ham,enron
Re: Conference room booking,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Hot singles in your area,   ,spam,spamassassin
Security alert from IT department,"Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com https://secure-verify-now.example.com",phishing,ceas2008
Project timeline update,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Lunch tomorrow?,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Lunch tomorrow?,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
URGENT: limited time offer,"From: user194@mailer.biz
To: target422@example.com
Date: 2024-09-14
Message-ID: <513927@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now! http://free-gift-claim.example.net

    unsubscribe   ",spam,spamassassin
Your invoice from last month,Attached is your invoice for last month's consulting hours.,ham,enron
Weekly status report,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Security alert from IT department,Your account shows suspicious sign-in attempts from an unrecognised device. Verify your identity now to keep your account safe.,phishing,ceas2008
Your account has been suspended,"From: user856@mailer.biz
To: target606@example.com
Date: 2024-02-27
Message-ID: <957179@mail.example.com>

This is the IT Service Desk. We require you to confirm your credentials via the secure portal attached, due to a recent security breach. http://free-gift-claim.example.net",phishing,ceas2008
Your account has been suspended,"Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com",phishing,ceas2008
Team offsite planning,"From: user990@example.com
To: target133@example.com
Date: 2024-07-17
Message-ID: <158104@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Lunch tomorrow?,"<html><body><p>Lunch tomorrow?</p><br>From: user880@example.com
To: target884@example.com
Date: 2024-01-08
Message-ID: <148215@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>",ham,enron
Buy cheap meds online now,"<html><body><p>Buy cheap meds online now</p><br>From: user760@mailer.biz
To: target926@example.com
Date: 2024-12-12
Message-ID: <322022@mail.example.com>

Lose 10kg in 2 weeks with this one weird trick doctors don't want you to know about. https://accounts-update.example.org</body></html>

    unsubscribe   ",spam,spamassassin
Free gift card waiting,"Work from home and earn $5000/week, no experience needed, sign up today!!! https://accounts-update.example.org",spam,spamassassin
Meeting notes from yesterday,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Holiday schedule reminder,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Hot singles in your area,"<html><body><p>Hot singles in your area</p><br>From: user885@mailer.biz
To: target676@example.com
Date: 2024-02-24
Message-ID: <340932@mail.example.com>

Click here to claim your free gift card before it expires!!! Hurry, limited stock. http://192.168.1.5/login</body></html>",spam,spamassassin
Team offsite planning,"<html><body><p>Team offsite planning</p><br>From: user688@example.com
To: target468@example.com
Date: 2024-06-12
Message-ID: <965401@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>

    unsubscribe   ",ham,enron
Follow-up on our call,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Meeting notes from yesterday,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Server maintenance window,The conference room is booked for 2pm. See you all there.,ham,enron
Lunch tomorrow?,Here is this week's status report. No major blockers to report.,ham,enron
Weekly status report,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Re: Conference room booking,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Weekly status report,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Re: Conference room booking,"From: user966@example.com
To: target581@example.com
Date: 2024-12-11
Message-ID: <322955@mail.example.com>

Please find the Q3 numbers below. We are slightly under budget on travel.",ham,enron
Project timeline update,"<html><body><p>Project timeline update</p><br>From: user980@example.com
To: target576@example.com
Date: 2024-09-11
Message-ID: <802559@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>",ham,enron
Project timeline update,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Server maintenance window,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Weekly status report,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Project timeline update,The conference room is booked for 2pm. See you all there.,ham,enron
Make $5000 a week from home,"<html><body><p>Make $5000 a week from home</p><br>From: user982@mailer.biz
To: target628@example.com
Date: 2024-06-12
Message-ID: <292847@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!! http://192.168.1.5/login</body></html>",spam,spamassassin
Unusual sign-in activity detected,"From: user456@mailer.biz
To: target181@example.com
Date: 2024-05-13
Message-ID: <172988@mail.example.com>

Your account shows suspicious sign-in attempts from an unrecognised device. Verify your identity now to keep your account safe. https://accounts-update.example.org",phishing,ceas2008
Best deal of the year - act now,"LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://accounts-update.example.org",spam,spamassassin
Draft contract attached,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Your invoice from last month,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Q3 budget review,Attached is your invoice for last month's consulting hours.,ham,enron
